 Morbidade Hospitalar do SUS - por local de residência - Brasil
AIH aprovadas por Unidade da Federação e Ano/mês processamento
Período:Jan/2008-Set/2021
"Unidade da Federação";"2008/Jan";"2008/Fev";"2008/Mar";"2008/Abr";"2008/Mai";"2008/Jun";"2008/Jul";"2008/Ago";"2008/Set";"2008/Out";"2008/Nov";"2008/Dez";"2009/Jan";"2009/Fev";"2009/Mar";"2009/Abr";"2009/Mai";"2009/Jun";"2009/Jul";"2009/Ago";"2009/Set";"2009/Out";"2009/Nov";"2009/Dez";"2010/Jan";"2010/Fev";"2010/Mar";"2010/Abr";"2010/Mai";"2010/Jun";"2010/Jul";"2010/Ago";"2010/Set";"2010/Out";"2010/Nov";"2010/Dez";"2011/Jan";"2011/Fev";"2011/Mar";"2011/Abr";"2011/Mai";"2011/Jun";"2011/Jul";"2011/Ago";"2011/Set";"2011/Out";"2011/Nov";"2011/Dez";"2012/Jan";"2012/Fev";"2012/Mar";"2012/Abr";"2012/Mai";"2012/Jun";"2012/Jul";"2012/Ago";"2012/Set";"2012/Out";"2012/Nov";"2012/Dez";"2013/Jan";"2013/Fev";"2013/Mar";"2013/Abr";"2013/Mai";"2013/Jun";"2013/Jul";"2013/Ago";"2013/Set";"2013/Out";"2013/Nov";"2013/Dez";"2014/Jan";"2014/Fev";"2014/Mar";"2014/Abr";"2014/Mai";"2014/Jun";"2014/Jul";"2014/Ago";"2014/Set";"2014/Out";"2014/Nov";"2014/Dez";"2015/Jan";"2015/Fev";"2015/Mar";"2015/Abr";"2015/Mai";"2015/Jun";"2015/Jul";"2015/Ago";"2015/Set";"2015/Out";"2015/Nov";"2015/Dez";"2016/Jan";"2016/Fev";"2016/Mar";"2016/Abr";"2016/Mai";"2016/Jun";"2016/Jul";"2016/Ago";"2016/Set";"2016/Out";"2016/Nov";"2016/Dez";"2017/Jan";"2017/Fev";"2017/Mar";"2017/Abr";"2017/Mai";"2017/Jun";"2017/Jul";"2017/Ago";"2017/Set";"2017/Out";"2017/Nov";"2017/Dez";"2018/Jan";"2018/Fev";"2018/Mar";"2018/Abr";"2018/Mai";"2018/Jun";"2018/Jul";"2018/Ago";"2018/Set";"2018/Out";"2018/Nov";"2018/Dez";"2019/Jan";"2019/Fev";"2019/Mar";"2019/Abr";"2019/Mai";"2019/Jun";"2019/Jul";"2019/Ago";"2019/Set";"2019/Out";"2019/Nov";"2019/Dez";"2020/Jan";"2020/Fev";"2020/Mar";"2020/Abr";"2020/Mai";"2020/Jun";"2020/Jul";"2020/Ago";"2020/Set";"2020/Out";"2020/Nov";"2020/Dez";"2021/Jan";"2021/Fev";"2021/Mar";"2021/Abr";"2021/Mai";"2021/Jun";"2021/Jul";"2021/Ago";"2021/Set";"Total"
"24 Rio Grande do Norte";9823;13006;14362;14297;15504;14421;14894;14084;14112;13330;13805;11999;11603;12457;13933;9208;15595;14925;15006;15379;15092;15431;15479;14872;14695;13642;15940;15530;15905;14605;14543;14542;14638;14058;13926;13650;14005;14163;14893;15014;14102;14431;15273;14024;14623;13871;13737;14612;13470;12833;15053;14261;14070;13735;14382;14427;13801;13310;13611;12097;11962;11624;13872;14492;14379;14428;14162;14169;14999;14195;14086;12673;12849;13014;13712;13411;14423;13637;14088;12828;13177;13821;13538;12223;12602;11808;13706;13407;14052;13811;14879;14153;14191;14472;13539;12190;12744;12455;14135;14339;14328;14278;13710;12830;11307;13783;12785;13124;12787;12375;14232;14141;14804;13663;14669;14247;13675;13395;13120;12776;13229;13005;14372;15542;15872;14721;15620;15075;14712;14648;14646;12719;14871;14225;15426;14939;16718;15436;15873;16549;15303;15133;14986;14415;14918;14940;14697;12597;12111;12834;13696;13877;13873;14783;14110;13047;14596;13016;13696;15205;15891;15606;15046;14066;12588;2311591
"25 Paraíba";17348;18337;20094;20795;20299;19987;20492;20271;19854;20077;18823;18520;18231;18200;20542;20541;21934;20814;21031;21040;20858;20263;21034;20173;20151;19398;21067;20571;21700;20623;21733;21459;20533;20259;20000;19318;18608;19086;20417;19063;18664;18075;19147;18300;18435;18055;17932;17691;16517;16708;18704;18034;18504;17309;17725;17555;17098;16884;16905;15509;15980;15332;17268;18108;18467;18540;18430;18130;17499;16844;16626;16196;16352;15487;16246;16806;16725;16496;16480;17500;17495;17632;16518;15885;15273;14562;16327;16094;16222;16197;16605;16348;15910;15684;14464;14176;13864;15338;15886;15761;16089;15974;15363;16040;15138;15282;14266;14280;14939;14180;15876;15986;17023;16051;15547;16446;16238;16409;16426;15655;14730;14305;16257;16205;17113;16246;16737;17211;15775;15735;15509;14733;15485;14609;16337;16189;17918;16626;16991;17030;16873;16219;16219;15346;14463;14778;14440;11918;11566;12584;13661;14046;13651;14180;14033;12904;13398;14594;14557;15635;16987;16484;15649;15087;14418;2811687
"26 Pernambuco";25525;37823;43349;47841;47109;45638;45121;48330;46960;42609;42860;44010;36954;40492;42580;44686;45251;44723;44602;45003;45211;46292;44952;42829;41826;39983;43638;45629;45505;46116;45896;46899;44313;47266;47316;45658;43477;44973;43435;46379;46124;45423;46200;45526;45721;47860;44633;45027;42795;41642;43576;47799;47044;47660;45776;46972;44761;43152;45581;43181;41253;41152;45446;45371;46927;47316;47160;48110;45766;46734;44604;45097;42037;42141;42648;44826;47145;45850;46704;47050;48295;47492;46441;43426;43435;40812;46021;45802;46526;46045;44908;45595;43917;43819;44039;41995;43275;42210;44969;44483;46027;45470;46392;47161;45986;44073;41846;41824;42228;42240;46051;45681;49571;48242;48220;48341;46728;46270;45092;45017;44099;41809;47579;47551;49535;47531;47540;48625;45892;47449;45463;43028;45618;43636;46671;48333;50728;48198;49940;49763;47931;49870;48129;45820;47344;43331;43922;32532;33285;35792;41038;40789;40350;40870;42063;40120;41021;39380;42307;44237;48748;48920;47899;46463;43539;7389502
"27 Alagoas";12412;15324;14900;16862;16622;17141;16798;16272;16200;16846;15502;14566;14217;13996;16276;16898;17013;16217;16333;15408;16212;16419;15593;15639;15955;14427;16588;16807;16518;15606;16241;15824;16495;15867;15845;15090;14888;14890;14773;16246;16815;16053;16447;16597;16693;16181;15551;16252;15386;14728;14773;14423;15602;15700;15616;14971;15120;14956;13233;13917;13750;13813;14139;15336;15902;15339;16364;15292;14963;16052;14150;14274;14133;13115;12955;13308;14218;13883;14689;14838;14072;14593;14565;13554;13499;13701;14191;14035;15446;14615;16712;15614;15286;14173;14580;14243;14059;14218;14903;14713;15527;15602;15951;15661;15260;14595;13832;13270;14074;13628;14797;15020;15806;15779;16206;16017;15368;15624;14648;14350;14587;14406;14975;15399;15789;14562;15624;15078;15473;15302;14768;14014;14112;13984;14591;14528;15297;15553;16199;15535;15303;15700;15012;14327;14710;13675;14036;11910;10320;9513;11383;12694;12500;13696;14208;13973;12897;14196;13699;14547;14629;13823;14710;13138;11675;2459090
"28 Sergipe";5617;6999;8679;8883;8539;9280;9800;8677;9244;8274;7517;6730;6565;6020;7350;8176;8875;7922;7749;7413;8365;7326;8076;7053;7273;6329;7261;8317;8786;7033;8035;8213;8144;7571;8159;6933;7735;6875;7684;7226;7711;7314;7749;7613;7824;7505;7138;7034;7171;6828;7634;8140;7940;8675;7580;7875;7333;7592;6909;6461;6603;6891;8047;7811;7437;7159;7953;7454;7178;6867;6901;6632;7269;6737;7218;6998;7632;7424;7197;7228;7810;7530;7404;6936;7131;6940;8090;8178;8552;7999;8198;8226;8117;8102;7781;6980;7106;6955;7952;7981;8511;7909;8519;12219;6367;6302;6838;6857;6991;6730;6928;7604;8485;7486;7745;8400;8266;8069;7311;6873;7329;6899;7207;7894;8252;7879;8468;8483;7899;8366;7443;7043;7785;7159;7221;8221;8816;7762;7976;7781;7819;7979;7918;7133;8063;7891;7887;6587;6298;5903;6567;6985;6749;7587;7720;6857;7331;7918;7629;7376;8184;8257;8136;7532;7141;1255073
"29 Bahia";41535;52396;60733;75521;80857;86026;80014;79375;77719;75963;64926;65173;59998;69016;77409;76644;74480;75322;75788;76927;78925;75436;76345;73318;73249;70687;79234;77482;78906;72853;76124;78645;75379;75937;74603;71843;72876;70137;77252;77472;68834;75216;77287;75014;76259;73698;74327;70021;68893;69112;76688;74244;75691;73406;74581;75016;71988;72092;68366;61305;63306;60667;66582;69959;69654;70231;73996;73775;70216;74832;66764;64683;67943;65999;66167;68610;69420;67058;72988;73736;74535;74317;67856;67554;69126;63293;72709;69694;71403;69061;72836;73875;73074;73369;71763;65509;65348;67200;70921;72420;70803;67923;69239;72485;70085;68673;61985;59726;63532;59855;67635;65153;69809;70176;67336;67929;70891;73639;69485;64010;68300;63233;67856;71469;72388;68977;71890;72661;70435;73046;70254;64568;67753;64401;69157;72235;74141;71203;75360;76600;73617;73811;70900;67018;67444;66025;66665;54852;52847;52059;55306;56159;57435;62299;62360;60286;56732;57134;62836;64438;64517;66335;66277;64315;60916;11485891
"31 Minas Gerais";68060;92601;99125;96944;99425;110233;101608;101598;101305;102328;95619;91468;92246;91162;98271;96977;100708;96728;99393;98870;96523;96928;96078;91362;94882;90412;99516;98341;100523;96812;98305;98808;96576;96139;96436;96257;96147;93378;98806;99372;100282;98183;103142;101473;99116;97125;98000;97962;97335;92537;102926;97404;103372;101828;102562;101889;100685;101179;94877;94068;98361;92271;100043;101736;103263;101790;103886;104221;102786;104508;101942;97649;102838;100129;103262;100945;110529;104613;107716;106067;107259;106832;105616;98576;99363;96792;104636;104872;107594;105378;104654;100905;103933;101849;100021;98283;98504;97003;103452;101789;103659;105231;102928;103054;100281;97372;94889;99204;97230;92443;102397;97227;104961;101996;103761;104482;101033;100807;101020;100319;100516;96034;106883;107059;107062;106029;108230;107492;105603;105807;101731;101924;104416;102609;106509;109939;116318;109186;113695;111971;107688;111781;104216;102837;107283;101799;97183;83261;85160;83507;90349;91124;93476;95899;94868;92350;94312;94547;98799;97777;101576;102236;103323;102657;93399;16522795
"32 Espírito Santo";9613;13629;15589;15692;14555;16562;17346;16511;17253;17143;16303;14722;14472;15310;16685;17467;18126;17072;17089;18124;17282;17242;16402;15366;16694;15279;16318;15557;17110;16647;16975;16714;17487;17514;17340;17440;17454;16579;18552;17773;18944;18422;18683;19784;17967;17924;18286;17988;17499;17257;18892;18800;18353;18278;18382;18870;18493;18354;18259;17728;17896;16902;17523;18615;18945;18365;18122;18260;18079;18919;18413;17351;18337;17715;17465;17651;19493;18882;19815;20107;19292;20125;19523;17870;18354;17866;19521;19201;19193;20380;20816;19902;18669;19194;19736;17702;18971;18025;18995;19229;19807;20380;19968;20206;19242;19395;19313;19957;19297;18490;20689;19790;20608;20828;20483;20392;19571;19984;21579;20146;21186;19806;19666;21160;21622;20397;20444;20602;19647;20257;19392;19013;19482;19077;19407;19571;20656;20104;22229;21945;21452;22079;20184;21171;21578;20315;20584;18853;18718;16584;17451;16982;17812;18900;19173;19737;20534;20298;22219;21777;22200;21881;23017;21669;20682;3085208
"33 Rio de Janeiro";34786;42427;64146;58105;63215;67027;64686;65560;65457;62521;56724;57929;54445;54440;59259;58437;62616;60094;63522;61849;61158;59840;60019;57850;56690;57872;63341;60116;65049;61713;64930;64931;60991;60386;59763;59357;57573;59365;62324;62904;65034;61876;61229;59548;59061;59094;58081;58083;53075;51752;61310;58323;61299;61835;61608;61323;57063;57662;52932;50565;53144;50931;55422;57483;58878;56737;59483;59666;57968;57597;54681;51195;55597;55083;54187;55286;56965;54363;60721;60117;60645;61032;57183;53428;57064;55126;62227;62212;61783;61807;64467;62005;59766;60506;57763;56053;56918;54847;60977;58802;57148;57593;57528;58948;55310;52783;52923;52233;51927;52105;57039;54005;60390;59246;60946;62239;58886;59831;57184;55715;58451;54920;60902;62611;63571;62222;64644;63169;60941;61470;59302;54627;62281;58608;59392;60159;66676;62975;66099;66476;64654;65266;62384;58857;61838;57684;56037;48274;53165;53734;58224;57684;57626;58313;57080;57793;58298;55472;64137;61499;65218;64052;63931;64909;63046;9726935
"35 São Paulo";124588;166677;181009;190364;211785;205124;213732;206117;208389;205755;185319;186514;173969;178714;205868;196354;208179;205135;209441;209469;210388;206990;205111;192731;198682;189834;212001;213015;210369;205511;206443;209162;211247;202806;207347;209164;198882;200382;211447;209671;216029;202277;217642;207472;209504;207450;205625;201183;191854;196878;214029;208750;215951;204576;210097;215355;204660;205823;199950;187883;197851;189702;198364;214492;212116;205074;208205;215516;208628;214596;199767;188193;203709;197511;201393;202803;216782;205326;215704;216686;209454;211669;203492;192206;199239;194455;212919;212937;214319;211548;213152;209786;205675;205324;197041;198641;192428;196264;212708;211094;212697;218000;213062;212441;205797;201064;199041;197927;193310;187820;216935;199655;220120;210288;209913;218161;207448;210106;205941;203293;204072;197789;216105;215128;217510;209722;212457;217131;207695;216517;206318;202165;210267;202406;216084;220297;226053;215009;220084;225784;216069;224668;210341;203350;214735;204560;207608;157475;162492;171369;186160;183877;190124;195378;194510;187168;194758;189700;197424;190455;199203;198204;196540;195863;188192;33585277
"41 Paraná";51255;63803;65028;62584;62579;64903;64834;63808;64032;64883;59891;62396;63475;62436;66675;66280;66956;65315;67467;66458;65993;66438;64696;64934;62816;62069;67433;67680;68412;67920;67846;68689;67827;67604;67678;65621;66501;64386;65604;67364;65715;66335;67129;64444;63841;65218;64833;64868;64305;62028;65511;65321;68224;67030;67028;68147;67129;65991;64293;62273;62511;61124;63897;65763;65815;64697;65420;65439;65360;64674;64549;60697;62222;62787;62181;62225;64919;63606;66121;67162;67494;66112;65230;61372;61565;61031;64482;65401;66885;66317;66935;66075;65521;64684;65423;63609;63408;62838;67546;68271;70488;69366;70143;69151;68239;68114;66680;64551;63769;65069;69509;68566;71644;69803;71805;73043;71864;72197;71978;71363;72069;68785;72649;74054;73926;73563;75451;75085;74372;74976;75092;70369;73266;71781;73682;73233;76635;74154;76031;74901;75653;76170;75163;70770;73452;75035;68699;56076;60993;53030;56332;59311;59822;64601;64005;57888;59778;64219;61440;64314;63687;64438;65107;67036;52680;10964715
"42 Santa Catarina";23788;31158;31651;31377;31646;33833;33557;33427;32961;34155;28972;30660;32274;30008;34220;32902;33686;32991;35118;34152;35149;34415;33880;30135;32500;29415;33848;33211;32636;32190;32917;34134;32968;32793;33173;34288;31167;32431;33385;32906;36275;33972;35290;33515;34372;35664;34637;33273;32152;32409;35477;33059;36598;35105;35589;37101;33770;35636;34114;30789;33124;31655;33460;35564;36732;35395;37219;36369;35949;36465;36714;34154;35465;35762;35131;35956;38316;37116;38314;40735;40213;39636;37487;33887;35865;35526;37648;37953;37767;38870;39610;40683;39895;40911;37564;36249;36942;37204;37836;40181;40956;41701;40452;41468;41034;40235;39238;36604;37642;35581;40568;37420;42332;41691;41739;42394;40406;40280;39752;38739;36394;38284;42423;42096;42352;43487;43442;43739;41758;42500;40283;38760;41299;39475;40446;41734;44998;43487;45798;45033;44376;45533;43115;40814;40155;41840;39563;31742;31474;33065;32354;32712;34576;35674;37157;35949;36921;36657;37297;36123;35904;37968;37590;39102;36128;6042205
